0.000,&,32.000 
0.000,&,1286.000 
0.000,&,1365.000 
0.000,&,1159.000 
0.000,&,1325.000 
0.000,&,1305.000 
0.000,&,1228.000 
0.000,&,1278.000 
0.000,&,1223.000 
0.000,&,1291.000 
0.000,&,1151.000 
0.000,&,1680.000 
0.010,&,1729.000 
0.010,&,1557.000 
0.010,&,1439.000 
0.010,&,1502.000 
0.010,&,1453.000 
0.010,&,1562.000 
0.010,&,1609.000 
0.010,&,1647.000 
0.010,&,1653.000 
0.020,&,2410.000 
0.020,&,2150.000 
0.020,&,2411.000 
0.020,&,2262.000 
0.020,&,2397.000 
0.020,&,2349.000 
0.020,&,2362.000 
0.020,&,2249.000 
0.020,&,2320.000 
0.020,&,2277.000 
0.030,&,2733.000 
0.030,&,2843.000 
0.030,&,2640.000 
0.030,&,2782.000 
0.030,&,2868.000 
0.030,&,2850.000 
0.030,&,2758.000 
0.030,&,2721.000 
0.030,&,2576.000 
0.030,&,2790.000 
0.050,&,3135.000 
0.110,&,3032.000 
0.050,&,2986.000 
0.050,&,3198.000 
0.070,&,3160.000 
0.050,&,3178.000 
0.110,&,3277.000 
0.070,&,3123.000 
0.100,&,3002.000 
0.050,&,3257.000 
0.150,&,4082.000 
0.170,&,3921.000 
0.090,&,3927.000 
0.090,&,3969.000 
0.090,&,3835.000 
0.090,&,3914.000 
0.090,&,3952.000 
0.090,&,3938.000 
0.083,&,3952.000 
0.090,&,4079.000 
0.100,&,5519.000 
0.100,&,5348.000 
0.100,&,5219.000 
0.090,&,5023.000 
0.100,&,5266.000 
0.100,&,5139.000 
0.100,&,5259.000 
0.103,&,5120.000 
0.100,&,5489.000 
0.100,&,5299.000 
0.190,&,5846.000 
0.180,&,5453.000 
0.190,&,5824.000 
0.180,&,5929.000 
0.190,&,5679.000 
0.190,&,5375.000 
0.190,&,5704.000 
0.190,&,5760.000 
0.193,&,6032.000 
0.190,&,5918.000 
0.360,&,6541.000 
0.560,&,6523.000 
0.370,&,6639.000 
0.400,&,6557.000 
0.420,&,6695.000 
0.380,&,6664.000 
0.360,&,6632.000 
0.360,&,6739.000 
0.680,&,6677.000 
0.360,&,6677.000 
0.740,&,10942.000 
0.788,&,10716.000 
0.720,&,11025.000 
0.740,&,11057.000 
0.743,&,10645.000 
0.830,&,10458.000 
0.740,&,10989.000 
0.745,&,10829.000 
0.880,&,10574.000 
0.750,&,10807.000 
1.503,&,11594.000 
1.483,&,11675.000 
1.590,&,11852.000 
1.520,&,11803.000 
1.473,&,11685.000 
1.440,&,11629.000 
1.570,&,11833.000 
1.513,&,11913.000 
1.420,&,11673.000 
1.420,&,11869.000 
9.130,&,26670.000 
9.227,&,27232.000 
9.336,&,26848.000 
9.108,&,27055.000 
9.103,&,26727.000 
9.120,&,26992.000 
9.140,&,26797.000 
9.335,&,27138.000 
9.178,&,26631.000 
9.215,&,26984.000 
