ta053, &, 0.222, &, 3927, &, 0.000, &, 4613, &, 0.007, &, 4647.8, &, 0.006, &, 3968.0
ta054, &, 0.295, &, 3969, &, 0.000, &, 4633, &, 0.005, &, 4635.0, &, 0.005, &, 4016.6
ta055, &, 0.211, &, 3835, &, 0.000, &, 4672, &, 0.005, &, 4662.8, &, 0.003, &, 3865.6
ta056, &, 0.209, &, 3914, &, 0.000, &, 4587, &, 0.005, &, 4605.8, &, 0.005, &, 3976.8
ta057, &, 0.211, &, 3952, &, 0.000, &, 4879, &, 0.005, &, 4884.2, &, 0.005, &, 4047.6
ta058, &, 0.219, &, 3938, &, 0.000, &, 4719, &, 0.009, &, 4726.6, &, 0.008, &, 4008.2
ta059, &, 0.262, &, 3952, &, 0.000, &, 4754, &, 0.005, &, 4741.2, &, 0.004, &, 4041.2
ta060, &, 0.245, &, 4079, &, 0.000, &, 4741, &, 0.006, &, 4756.0, &, 0.007, &, 4124.0
ta061, &, 0.316, &, 5519, &, 0.000, &, 6199, &, 0.004, &, 6205.8, &, 0.003, &, 5529.2
ta062, &, 0.234, &, 5348, &, 0.000, &, 5907, &, 0.005, &, 5884.2, &, 0.006, &, 5379.8
ta063, &, 0.313, &, 5219, &, 0.000, &, 5730, &, 0.004, &, 5743.8, &, 0.004, &, 5255.0
ta064, &, 0.322, &, 5023, &, 0.000, &, 5527, &, 0.004, &, 5546.6, &, 0.005, &, 5034.2
ta065, &, 0.320, &, 5266, &, 0.000, &, 5986, &, 0.005, &, 5988.4, &, 0.006, &, 5269.2
ta066, &, 0.272, &, 5139, &, 0.000, &, 6387, &, 0.004, &, 6375.6, &, 0.004, &, 5186.2
ta067, &, 0.292, &, 5259, &, 0.000, &, 6178, &, 0.004, &, 6165.0, &, 0.002, &, 5264.0
ta068, &, 0.243, &, 5120, &, 0.000, &, 5714, &, 0.005, &, 5713.4, &, 0.005, &, 5149.6
ta069, &, 0.239, &, 5489, &, 0.000, &, 6123, &, 0.004, &, 6121.4, &, 0.004, &, 5521.8
ta070, &, 0.226, &, 5299, &, 0.000, &, 6258, &, 0.004, &, 6266.8, &, 0.003, &, 5306.6
ta071, &, 0.440, &, 5846, &, 0.000, &, 6757, &, 0.004, &, 6783.0, &, 0.007, &, 5897.0
ta072, &, 0.450, &, 5453, &, 0.000, &, 6698, &, 0.008, &, 6683.8, &, 0.007, &, 5496.6
ta073, &, 0.493, &, 5824, &, 0.000, &, 6556, &, 0.007, &, 6554.8, &, 0.006, &, 5855.4
ta074, &, 0.447, &, 5929, &, 0.000, &, 6999, &, 0.004, &, 7000.6, &, 0.006, &, 5955.0
ta075, &, 0.598, &, 5679, &, 0.000, &, 7077, &, 0.006, &, 7076.0, &, 0.006, &, 5700.2
ta076, &, 0.483, &, 5375, &, 0.001, &, 6351, &, 0.005, &, 6367.4, &, 0.006, &, 5403.6
ta077, &, 0.482, &, 5704, &, 0.000, &, 6335, &, 0.006, &, 6340.8, &, 0.008, &, 5734.8
ta078, &, 0.537, &, 5760, &, 0.000, &, 6645, &, 0.008, &, 6657.6, &, 0.007, &, 5773.6
ta079, &, 0.485, &, 6032, &, 0.000, &, 6841, &, 0.007, &, 6837.4, &, 0.005, &, 6087.0
ta080, &, 0.452, &, 5918, &, 0.000, &, 7173, &, 0.005, &, 7173.4, &, 0.005, &, 5956.2
ta081, &, 0.972, &, 6541, &, 0.000, &, 7733, &, 0.010, &, 7737.4, &, 0.009, &, 6600.0
ta082, &, 0.894, &, 6523, &, 0.000, &, 7964, &, 0.009, &, 7952.4, &, 0.009, &, 6595.4
ta083, &, 0.881, &, 6639, &, 0.000, &, 7768, &, 0.009, &, 7784.4, &, 0.008, &, 6681.6
ta084, &, 0.856, &, 6557, &, 0.000, &, 7758, &, 0.009, &, 7760.0, &, 0.009, &, 6581.8
ta085, &, 0.971, &, 6695, &, 0.000, &, 7930, &, 0.011, &, 7924.0, &, 0.008, &, 6729.2
ta086, &, 0.878, &, 6664, &, 0.000, &, 7958, &, 0.015, &, 7964.2, &, 0.013, &, 6702.8
ta087, &, 1.101, &, 6632, &, 0.000, &, 7692, &, 0.012, &, 7691.4, &, 0.008, &, 6656.2
ta088, &, 0.853, &, 6739, &, 0.000, &, 7934, &, 0.010, &, 7936.2, &, 0.009, &, 6813.8
ta089, &, 0.856, &, 6677, &, 0.000, &, 8035, &, 0.009, &, 8030.0, &, 0.009, &, 6742.2
ta090, &, 0.857, &, 6677, &, 0.004, &, 7869, &, 0.008, &, 7879.0, &, 0.008, &, 6708.8
ta091, &, 1.856, &, 10942, &, 0.000, &, 12064, &, 0.015, &, 12079.8, &, 0.016, &, 10948.4
ta092, &, 2.061, &, 10716, &, 0.000, &, 12103, &, 0.010, &, 12098.2, &, 0.012, &, 10748.8
ta093, &, 2.260, &, 11025, &, 0.001, &, 12566, &, 0.013, &, 12527.4, &, 0.012, &, 11038.0
ta094, &, 2.377, &, 11057, &, 0.000, &, 12216, &, 0.015, &, 12174.8, &, 0.015, &, 11057.0
